"Core Skill"
"Event Driven Architecture Patterns"
"Lambda"
"Prompt Engineering"
"Langchain"
"Bedrock"
"Retrieval Augmented Generation (RAG)"
"LLMOps"
"SaaS CI/CD (Circle CI, GitHub Actions, Gitlab CI, Azure DevOps)"
"Terraform"
"CloudFormation"
"Cloud Development Kit (CDK)"
"OLTP Data Modeling"
"MySQL"
"Star schema modeling"
"Lakeformation"
"DMS"
"MSSQL"
"Postgres"
"DynamoDB"
"Spark"
"dbt"
"Data Lakes"
"Airflow"
"SQL"
"Delta format"
"Python"
"Glue"
"Stored Proc"
"Aurora"
"Quicksight"
"Redshift"
"Athena"
"EMR"
"MLOps"
"Data Governance"
"MAP - Assess"
